Número 		 |		Tiempo que le tomó
    30751		 | 		145067
    61186		 | 		145529
    26106		 | 		145978
    63685		 | 		146415
    75105		 | 		148005
    96819		 | 		148454
    39571		 | 		148974
    92998		 | 		149410
    92234		 | 		149871
    23775		 | 		150306
    90201		 | 		150745
    47857		 | 		151177
    95114		 | 		151619
    66736		 | 		152070
    80673		 | 		152522
    15456		 | 		152976
    4397		 | 		153405
    97581		 | 		153851
    10625		 | 		154285
    99290		 | 		154729
    42842		 | 		155165
    97022		 | 		155609
    49371		 | 		156046
    68895		 | 		156478
    7923		 | 		158085
    38918		 | 		158567
    47115		 | 		159013
    68235		 | 		159449
    75436		 | 		159889
    11749		 | 		160327
    34697		 | 		160777
    6187		 | 		161210
    72934		 | 		161653
    77154		 | 		162091
    69871		 | 		162538
    64391		 | 		162977
    73972		 | 		163412
    25793		 | 		163855
    57388		 | 		164286
    82558		 | 		164724
    49567		 | 		165162
    63940		 | 		165611
    30414		 | 		166080
    61033		 | 		167654
    47027		 | 		168081
    27438		 | 		168513
    76488		 | 		168978
    51423		 | 		169426
    41370		 | 		169888
    87112		 | 		170323
    67064		 | 		170759
    84211		 | 		171194
    485		 | 		171633
    32787		 | 		172071
    69457		 | 		172530
    24759		 | 		173021
    88056		 | 		173463
    16571		 | 		173935
    92993		 | 		174366
    63492		 | 		174796
    44672		 | 		175296
    44041		 | 		175752
    69678		 | 		176197
    33957		 | 		177802
    21195		 | 		178220
    55900		 | 		178662
    98347		 | 		179098
    11518		 | 		179561
    98044		 | 		180051
    72086		 | 		180506
    94075		 | 		180979
    63962		 | 		181410
    52377		 | 		181854
    40840		 | 		182283
    24994		 | 		182728
    99403		 | 		183156
    84629		 | 		183642
    1481		 | 		184041
    50826		 | 		184474
    25999		 | 		184916
    4944		 | 		185345
    34241		 | 		185782
    26561		 | 		186222
    5428		 | 		187804
    83379		 | 		188258
    96018		 | 		188701
    30186		 | 		189132
    71435		 | 		189576
    12588		 | 		190012
    39530		 | 		190440
    34926		 | 		190900
    73611		 | 		191322
    99923		 | 		191764
    20955		 | 		192195
    7568		 | 		192636
    21117		 | 		193066
    93206		 | 		193506
    5914		 | 		193960
    48986		 | 		194393
    91249		 | 		194840
    94352		 | 		195274
    43061		 | 		195718
    55210		 | 		196149
    46728		 | 		197718
    252		 | 		198170
    80204		 | 		198618
    46131		 | 		199050
    84881		 | 		199485
    98036		 | 		199937
    13308		 | 		200367
    10879		 | 		200811
    19332		 | 		201243
    63900		 | 		201713
    53791		 | 		202152
    24759		 | 		202582
    47279		 | 		203020
    49808		 | 		203456
    71297		 | 		203903
    18713		 | 		204334
    78748		 | 		204777
    27178		 | 		205210
    69990		 | 		205657
    52358		 | 		206096
    27100		 | 		206564
    90944		 | 		208235
    59925		 | 		208756
    64568		 | 		209188
    84149		 | 		209632
    82191		 | 		210064
    13554		 | 		210499
    75397		 | 		211058
    76542		 | 		211534
    72966		 | 		211954
    46958		 | 		212390
    39621		 | 		212836
    73217		 | 		213270
    43513		 | 		213713
    2103		 | 		214150
    74449		 | 		214601
    57901		 | 		215050
    31762		 | 		215485
    1679		 | 		215932
    77232		 | 		216366
    95662		 | 		217915
    55470		 | 		218363
    18342		 | 		218801
    59292		 | 		219237
    21629		 | 		219702
    89638		 | 		220133
    78004		 | 		220583
    376		 | 		221034
    33168		 | 		221482
    47993		 | 		221956
    52734		 | 		222388
    60267		 | 		222830
    55288		 | 		223272
    29010		 | 		223716
    41187		 | 		224154
    39436		 | 		224613
    11200		 | 		225050
    54740		 | 		225485
    31184		 | 		225949
    4093		 | 		226384
    44057		 | 		227997
    94493		 | 		228431
    60066		 | 		228875
    17273		 | 		229307
    38006		 | 		229751
    62168		 | 		230180
    8074		 | 		230625
    95906		 | 		231064
    93930		 | 		231502
    9752		 | 		231970
    89489		 | 		232403
    5943		 | 		232851
