

Número 		 |		¿Se encontró?		 |		Tiempo que le tomó
    23		 | 		No se encontró		 | 		0
    25		 | 		No se encontró		 | 		34
    25		 | 		No se encontró		 | 		50
    46		 | 		No se encontró		 | 		66
    65		 | 		No se encontró		 | 		81
    1		 | 		No se encontró		 | 		96
    40		 | 		No se encontró		 | 		109
    80		 | 		No se encontró		 | 		122
    21		 | 		No se encontró		 | 		137
    79		 | 		No se encontró		 | 		150
