Número 		 |		Tiempo que le tomó
    9716		 | 		14901
    5207		 | 		14947
    4053		 | 		14988
    4589		 | 		15030
    230		 | 		15071
    3071		 | 		15112
    2785		 | 		15175
    7835		 | 		15222
    1740		 | 		15266
    7315		 | 		15308
    8051		 | 		15349
    6417		 | 		15391
    4356		 | 		15433
    6126		 | 		15475
    673		 | 		15516
    4150		 | 		15557
    9726		 | 		15599
    2682		 | 		15640
    5129		 | 		15681
    8266		 | 		15723
    1808		 | 		15764
    3877		 | 		15804
    5304		 | 		15845
    5002		 | 		15886
    455		 | 		15928
    8209		 | 		15969
    1257		 | 		16011
    5211		 | 		16053
    8510		 | 		16096
    45		 | 		16159
    7247		 | 		16210
    4577		 | 		16257
    5251		 | 		16299
    1299		 | 		16341
    9165		 | 		16383
    5481		 | 		16424
    721		 | 		16465
    1949		 | 		16507
    9667		 | 		16548
    8812		 | 		16590
    5616		 | 		16631
    7717		 | 		16674
    1580		 | 		16715
    6323		 | 		16758
    194		 | 		16799
    8605		 | 		16841
    472		 | 		16882
    6272		 | 		16925
    1286		 | 		16966
    1952		 | 		17008
    4537		 | 		17049
    3093		 | 		17091
    5828		 | 		17169
    9840		 | 		17244
    8094		 | 		17306
    6282		 | 		17358
    4400		 | 		17402
    9351		 | 		17446
    7844		 | 		17489
    9261		 | 		17531
    5747		 | 		17573
    5090		 | 		17615
    3838		 | 		17657
    998		 | 		17700
    2740		 | 		17743
    3002		 | 		17785
    2830		 | 		17826
    9812		 | 		17869
    1303		 | 		17911
    2496		 | 		17953
    4975		 | 		17996
    6918		 | 		18034
    212		 | 		18075
    6555		 | 		18121
    3240		 | 		20983
    6758		 | 		21032
    5159		 | 		21076
    64		 | 		21126
    3029		 | 		21174
    6444		 | 		21220
    2015		 | 		21264
    3917		 | 		21308
    5888		 | 		21351
    4195		 | 		21396
    108		 | 		21439
    3981		 | 		21482
    6828		 | 		21526
    859		 | 		21569
    9683		 | 		21620
    4672		 | 		21680
    119		 | 		21732
    5430		 | 		21778
    6113		 | 		21840
    3956		 | 		21909
    2779		 | 		21956
    5205		 | 		22010
    3310		 | 		22077
    5608		 | 		22126
    1368		 | 		22176
    4612		 | 		22220
    8103		 | 		22264
    6343		 | 		22308
    7881		 | 		22352
    4666		 | 		22401
    2897		 | 		22444
    7472		 | 		22489
    1423		 | 		22534
    4407		 | 		22578
    7535		 | 		22622
    4451		 | 		22666
    850		 | 		22709
    5902		 | 		22755
    4719		 | 		22802
    3089		 | 		22844
    6448		 | 		22882
    4826		 | 		22925
    7069		 | 		22970
    3275		 | 		23012
    5684		 | 		23055
    3104		 | 		23096
    7946		 | 		23160
    2155		 | 		23210
    4885		 | 		23260
    411		 | 		23302
    2462		 | 		23346
    7663		 | 		23390
    5615		 | 		23433
    5771		 | 		23476
    3270		 | 		23518
    3334		 | 		23560
    6734		 | 		23604
    1372		 | 		23647
    9676		 | 		23690
    4614		 | 		23733
    2389		 | 		23776
    2572		 | 		23819
    8438		 | 		23863
    3812		 | 		23905
    6978		 | 		23948
    2324		 | 		23991
    4614		 | 		24028
    4179		 | 		24071
    4577		 | 		24108
    9333		 | 		24166
    7267		 | 		24214
    1024		 | 		24259
    510		 | 		24302
    688		 | 		24346
    4299		 | 		24389
    6194		 | 		24435
    143		 | 		24477
    8596		 | 		24521
    8348		 | 		24566
    5027		 | 		24604
    9006		 | 		24647
    809		 | 		24689
    2689		 | 		24732
    972		 | 		24774
    2932		 | 		24817
    5958		 | 		24863
    4306		 | 		24906
    9665		 | 		24950
    3681		 | 		24992
    3981		 | 		25029
    631		 | 		25072
    2421		 | 		25115
    2905		 | 		25189
    5420		 | 		25239
    6232		 | 		25284
    6234		 | 		25329
    7743		 | 		25373
    7198		 | 		25418
    6765		 | 		25462
    2320		 | 		25505
    2882		 | 		25548
    4031		 | 		25590
    3343		 | 		25633
    3391		 | 		25675
    1070		 | 		25718
    3993		 | 		25767
    5936		 | 		25813
    1212		 | 		25856
    2589		 | 		25898
    4283		 | 		25943
    6238		 | 		25987
    7946		 | 		26024
    1444		 | 		26067
    5278		 | 		26111
    5270		 | 		26168
    727		 | 		26216
    7587		 | 		26262
    5927		 | 		26300
    6743		 | 		26344
    7619		 | 		26388
    6259		 | 		26432
    3725		 | 		26475
    40		 | 		26518
    9163		 | 		26562
    9144		 | 		26606
    2623		 | 		26649
    1749		 | 		26693
    6887		 | 		26730
    9820		 | 		26774
    8513		 | 		26819
    5558		 | 		26862
