Número 		 |		Tiempo que le tomó
    737		 | 		19344
    191		 | 		19385
    319		 | 		19422
    680		 | 		19458
    969		 | 		19496
    87		 | 		19537
    37		 | 		19578
    429		 | 		19619
    776		 | 		19659
    162		 | 		19700
    990		 | 		19741
    710		 | 		19778
    331		 | 		19819
    448		 | 		19855
    439		 | 		19896
    2		 | 		19937
    912		 | 		19978
    922		 | 		20019
    424		 | 		20060
    732		 | 		20101
    984		 | 		20145
    736		 | 		20201
    58		 | 		20243
    180		 | 		20280
    461		 | 		20322
    630		 | 		20363
    929		 | 		20399
    73		 | 		20440
    80		 | 		20481
    26		 | 		20522
    280		 | 		20563
    816		 | 		20604
    217		 | 		20645
    598		 | 		20688
    848		 | 		20729
    537		 | 		20770
    685		 | 		20811
    236		 | 		20852
    965		 | 		20889
    460		 | 		20930
    749		 | 		20971
    307		 | 		21011
    522		 | 		21049
    80		 | 		21086
    754		 | 		21123
    960		 | 		21174
    433		 | 		21216
    665		 | 		21257
    234		 | 		21299
    857		 | 		21335
    748		 | 		21376
    569		 | 		21412
    944		 | 		21449
    805		 | 		21491
    749		 | 		21527
    757		 | 		21564
    435		 | 		21605
    29		 | 		21646
    829		 | 		21687
    866		 | 		21727
    55		 | 		21768
    460		 | 		21805
    33		 | 		21845
    623		 | 		21882
    58		 | 		21919
    880		 | 		21960
    159		 | 		22003
    94		 | 		22043
    467		 | 		22081
    475		 | 		22122
    905		 | 		22180
    216		 | 		22236
    133		 | 		22283
    426		 | 		22324
    647		 | 		22366
    886		 | 		22407
    738		 | 		22449
    79		 | 		22491
    902		 | 		22532
    323		 | 		22574
    935		 | 		22610
    2		 | 		22647
    891		 | 		22688
    879		 | 		22729
    806		 | 		22772
    991		 | 		22808
    987		 | 		22846
    592		 | 		22891
    372		 | 		22933
    815		 | 		22971
    809		 | 		23024
    778		 | 		23063
    274		 | 		23119
    842		 | 		23193
    400		 | 		23245
    683		 | 		23292
    721		 | 		23347
    910		 | 		23389
    776		 | 		23426
    540		 | 		23469
    736		 | 		23507
    681		 | 		23554
    755		 | 		23591
    869		 | 		23633
    458		 | 		23675
    401		 | 		23717
    106		 | 		23754
    195		 | 		23796
    479		 | 		23838
    8		 | 		23875
    869		 | 		23911
    766		 | 		23953
    9		 | 		23996
    760		 | 		24041
    996		 | 		24082
    166		 | 		24125
    750		 | 		24179
    982		 | 		24222
    110		 | 		24264
    473		 | 		24306
    148		 | 		24348
    918		 | 		24391
    250		 | 		24427
    421		 | 		24464
    111		 | 		24500
    649		 | 		24537
    104		 | 		24574
    184		 | 		24615
    910		 | 		24652
    231		 | 		24694
    723		 | 		24731
    998		 | 		24768
    263		 | 		24811
    477		 | 		24853
    866		 | 		24889
    721		 | 		24926
    229		 | 		24970
    971		 | 		25015
    267		 | 		25058
    707		 | 		25100
    330		 | 		25146
    136		 | 		25197
    824		 | 		25239
    690		 | 		25281
    247		 | 		25326
    819		 | 		25368
    208		 | 		25405
    348		 | 		25447
    800		 | 		25484
    669		 | 		25526
    821		 | 		25563
    947		 | 		25604
    938		 | 		25641
    70		 | 		25683
    720		 | 		25725
    49		 | 		25761
    71		 | 		25798
    175		 | 		25841
    232		 | 		25884
    980		 | 		25925
    405		 | 		25967
    954		 | 		26012
    977		 | 		26056
    20		 | 		26098
    782		 | 		26141
    194		 | 		26201
    740		 | 		26244
    10		 | 		26287
    165		 | 		26329
    358		 | 		26371
    68		 | 		26413
    846		 | 		26456
    493		 | 		26493
    892		 | 		26535
    888		 | 		26578
    739		 | 		26620
    710		 | 		26657
    95		 | 		26693
    87		 | 		26730
    862		 | 		26766
    115		 | 		26809
    259		 | 		26852
    160		 | 		26894
    52		 | 		26936
    328		 | 		26978
    231		 | 		27020
    452		 | 		27062
    398		 | 		27100
    405		 | 		27136
    683		 | 		29991
    378		 | 		30045
    162		 | 		30094
    988		 | 		30144
    706		 | 		30194
    181		 | 		30250
    769		 | 		30298
    900		 | 		30354
    920		 | 		30401
    130		 | 		30455
    416		 | 		30509
    629		 | 		30563
    198		 | 		30629
    261		 | 		30687
    122		 | 		30732
    89		 | 		30770
    500		 | 		30807
    212		 | 		30850
    150		 | 		30888
    594		 | 		30931
    650		 | 		30975
    363		 | 		31018
    60		 | 		31061
    908		 | 		31104
    523		 | 		31143
    112		 | 		31210
    236		 | 		31248
    753		 | 		31291
    563		 | 		31333
    985		 | 		31376
    510		 | 		31418
    598		 | 		31455
    362		 | 		31498
    671		 | 		31542
    585		 | 		31584
    420		 | 		31627
    203		 | 		31671
    706		 | 		31708
    319		 | 		31744
    474		 | 		31782
    187		 | 		31825
    86		 | 		31868
    102		 | 		31916
    384		 | 		31960
    346		 | 		32003
    575		 | 		32040
    824		 | 		32077
    198		 | 		32114
    139		 | 		32163
    326		 | 		32214
    791		 | 		32252
    788		 | 		32294
    688		 | 		32338
    203		 | 		32375
    48		 | 		32418
    562		 | 		32454
    314		 | 		32498
    635		 | 		32540
    667		 | 		32583
    228		 | 		32621
    619		 | 		32664
    176		 | 		32708
    825		 | 		32751
    333		 | 		32788
    198		 | 		32825
    762		 | 		32861
    752		 | 		32904
    752		 | 		32941
    819		 | 		32978
    422		 | 		33021
    225		 | 		33064
    5		 | 		33102
    507		 | 		33147
    326		 | 		33185
    741		 | 		33228
    204		 | 		33265
    901		 | 		33308
    916		 | 		33351
    401		 | 		33388
    39		 | 		33425
    241		 | 		33462
    544		 | 		33505
    178		 | 		33541
    281		 | 		33585
    746		 | 		33621
    577		 | 		33658
