

Comienza el proceso de eliminación



Número 		 |		Tiempo que le tomó
    3554		 | 		22737
    5939		 | 		22840
    1275		 | 		22933
    3913		 | 		23014
    1738		 | 		23077
    7304		 | 		23160
    5857		 | 		23223
    2416		 | 		23287
    4466		 | 		23350
    780		 | 		23435
    4393		 | 		23498
    1411		 | 		23581
    229		 | 		23643
    2083		 | 		23707
    4182		 | 		23771
    4416		 | 		23853
    3905		 | 		23933
    7916		 | 		24014
    8876		 | 		24097
    7175		 | 		24176
    5138		 | 		24238
    4639		 | 		24302
    1263		 | 		24365
    2208		 | 		24447
    4427		 | 		24507
    5714		 | 		24571
    4884		 | 		24634
    8581		 | 		24716
    3005		 | 		24779
    7031		 | 		24864
    3016		 | 		24953
    6558		 | 		25023
    9321		 | 		25094
    4290		 | 		25181
    6822		 | 		25248
    1058		 | 		25317
    7945		 | 		25382
    2679		 | 		25469
    9826		 | 		25561
    8762		 | 		25646
    3458		 | 		25737
    4218		 | 		25824
    6524		 | 		25894
    38		 | 		25982
    6300		 | 		26073
    7058		 | 		26142
    806		 | 		26230
    6557		 | 		26297
    4973		 | 		26362
    9681		 | 		26449
    3731		 | 		26519
    110		 | 		26603
    671		 | 		26756
    1346		 | 		26901
    8669		 | 		26993
    5097		 | 		27080
    7059		 | 		27169
    9904		 | 		27239
    29		 | 		27307
    6416		 | 		27396
    3287		 | 		27460
    3044		 | 		27547
    9325		 | 		27634
    8959		 | 		27705
    3685		 | 		27773
    6147		 | 		27840
    17		 | 		27907
    7982		 | 		27975
    8825		 | 		28132
    6194		 | 		28200
    3095		 | 		28286
    8634		 | 		28353
    411		 | 		28427
    5971		 | 		28500
    8672		 | 		28585
    3062		 | 		28650
    3028		 | 		28715
    5829		 | 		28782
    9618		 | 		28853
    4352		 | 		28944
    5509		 | 		29026
    3349		 | 		29113
    813		 | 		29177
    6180		 | 		29261
    4694		 | 		29323
    9481		 | 		29410
    7628		 | 		29481
    8104		 | 		29574
    5737		 | 		29659
    7657		 | 		29728
    4519		 | 		29813
    9023		 | 		29879
    7052		 | 		29947
    196		 | 		30034
    7981		 | 		30114
    7089		 | 		30181
    6342		 | 		30254
    4349		 | 		30322
    5070		 | 		30409
    1518		 | 		30473
    542		 | 		30538
    4516		 | 		30624
    6503		 | 		30799
    7304		 | 		30892
    486		 | 		30956
    1526		 | 		31024
    366		 | 		31093
    3513		 | 		31160
    7354		 | 		31226
    9983		 | 		31314
    4216		 | 		31378
    2863		 | 		31466
    9683		 | 		31530
    1380		 | 		31596
    5394		 | 		31675
    728		 | 		31744
    7213		 | 		31811
    3021		 | 		31897
    8832		 | 		31966
    2949		 | 		32031
    7029		 | 		32102
    9702		 | 		32192
    8323		 | 		32257
    4081		 | 		32325
    6249		 | 		32394
    6303		 | 		32478
    1169		 | 		86113
    2590		 | 		86345
    7004		 | 		86491
    2590		 | 		86558
    459		 | 		86637
    7545		 | 		86708
    7105		 | 		86814
    6962		 | 		86877
    4849		 | 		86943
    7591		 | 		87006
    8487		 | 		87067
    1566		 | 		87144
    7455		 | 		87219
    5841		 | 		87298
    1548		 | 		87359
    8023		 | 		87425
    5055		 | 		87502
    1231		 | 		87565
    9402		 | 		87628
    448		 | 		87707
    8310		 | 		87772
    6614		 | 		87849
    3468		 | 		87909
    7141		 | 		87972
    9562		 | 		88303
    497		 | 		88371
    3195		 | 		88434
    4236		 | 		88517
    929		 | 		88580
    9443		 | 		88648
    539		 | 		88708
    2097		 | 		88771
    8385		 | 		88854
    7542		 | 		88931
    1038		 | 		89006
    5195		 | 		89069
    1438		 | 		89145
    4494		 | 		89223
    8508		 | 		89300
    2638		 | 		89380
    8436		 | 		89442
    6995		 | 		89519
    4203		 | 		89595
    2243		 | 		89673
    9187		 | 		89733
    5751		 | 		89795
    265		 | 		89859
    4241		 | 		89922
    3333		 | 		89986
    6018		 | 		90062
    4688		 | 		90121
    7994		 | 		90182
    2632		 | 		90243
    4507		 | 		90305
    1487		 | 		90386
    8545		 | 		90467
    1355		 | 		90534
    4681		 | 		90602
    2781		 | 		90671
    2283		 | 		90764
    475		 | 		90833
    9671		 | 		90900
    731		 | 		90979
    5211		 | 		91042
    3564		 | 		91120
    1768		 | 		91195
    6758		 | 		91255
    5001		 | 		91319
    2614		 | 		91402
    5265		 | 		91468
    3991		 | 		91557
    1049		 | 		91635
    2259		 | 		91709
    8193		 | 		91769
    3291		 | 		91975
    7797		 | 		92043
    295		 | 		92128
    3555		 | 		92208
    8389		 | 		92281
    9979		 | 		92374
    9573		 | 		92439
    3076		 | 		92528
    7973		 | 		92594
    8556		 | 		92674
    3935		 | 		92747
    9459		 | 		92820
    3452		 | 		92902
    5289		 | 		92968
    4139		 | 		93059
    6232		 | 		93151
    3924		 | 		93243
    965		 | 		93333
    2254		 | 		93402
    4654		 | 		93473
    2528		 | 		93542
    5817		 | 		93612
