

Comienza el proceso de eliminación



Número 		 |		Tiempo que le tomó
    254		 | 		11692
    557		 | 		11721
    800		 | 		11752
    923		 | 		11786
    502		 | 		11815
    97		 | 		11855
    588		 | 		11893
    56		 | 		11926
    196		 | 		11959
    809		 | 		11999
    720		 | 		12039
    794		 | 		12075
    834		 | 		12111
    968		 | 		12142
    547		 | 		12173
    80		 | 		12212
    1000		 | 		12249
    675		 | 		12290
    286		 | 		12319
    709		 | 		12356
    510		 | 		12385
    306		 | 		12419
    897		 | 		12459
    502		 | 		12496
    102		 | 		12525
    767		 | 		12565
    410		 | 		12595
    749		 | 		12627
    569		 | 		12660
    166		 | 		12692
    379		 | 		12725
    174		 | 		12761
    74		 | 		12794
    178		 | 		12831
    449		 | 		12868
    575		 | 		12896
    626		 | 		12938
    36		 | 		12974
    983		 | 		13010
    821		 | 		13049
    196		 | 		13078
    54		 | 		13108
    614		 | 		13144
    382		 | 		13183
    373		 | 		13213
    513		 | 		13243
    461		 | 		13273
    372		 | 		13312
    187		 | 		13348
    747		 | 		13377
    432		 | 		13416
    48		 | 		13445
    52		 | 		13473
    681		 | 		13510
    901		 | 		13541
    506		 | 		13571
    447		 | 		13601
    311		 | 		13639
    606		 | 		13673
    367		 | 		13711
    828		 | 		13739
    984		 | 		13770
    541		 | 		13808
    253		 | 		13845
    161		 | 		13873
    989		 | 		13905
    179		 | 		13934
    786		 | 		13971
    376		 | 		13999
    513		 | 		14041
    959		 | 		14071
    924		 | 		14101
    566		 | 		14140
    924		 | 		14180
    305		 | 		14210
    938		 | 		14247
    436		 | 		14275
    765		 | 		14308
    662		 | 		14346
    974		 | 		14376
    863		 | 		14416
    93		 | 		14446
    373		 | 		14484
    267		 | 		14520
    773		 | 		14557
    274		 | 		14594
    124		 | 		14623
    571		 | 		14662
    936		 | 		14690
    729		 | 		14727
    938		 | 		14764
    115		 | 		14803
    713		 | 		14832
    830		 | 		14868
    367		 | 		14906
    225		 | 		14936
    170		 | 		14972
    897		 | 		15008
    363		 | 		15047
    545		 | 		15084
    410		 | 		15121
    673		 | 		15151
    468		 | 		15195
    975		 | 		15322
    596		 | 		15354
    124		 | 		15393
    265		 | 		15433
    384		 | 		15469
    889		 | 		15498
    926		 | 		15530
    709		 | 		15567
    103		 | 		15603
    370		 | 		15679
    82		 | 		15723
    721		 | 		15790
    495		 | 		15824
    707		 | 		15860
    844		 | 		15892
    65		 | 		15932
    994		 | 		15976
    925		 | 		16010
    2		 | 		16045
    108		 | 		16078
    637		 | 		16112
    183		 | 		16156
    826		 | 		16187
    213		 | 		16222
    352		 | 		16254
    722		 | 		16289
    927		 | 		16332
    249		 | 		16377
    483		 | 		16412
    599		 | 		16446
    716		 | 		16477
    458		 | 		16511
    195		 | 		16548
    192		 | 		16582
    74		 | 		16623
    578		 | 		16731
    80		 | 		16814
    351		 | 		16848
    286		 | 		16882
    534		 | 		16921
    72		 | 		16966
    719		 | 		17000
    255		 | 		17045
    566		 | 		17091
    777		 | 		17133
    450		 | 		17170
    631		 | 		17203
    770		 | 		17245
    374		 | 		17294
    984		 | 		17337
    229		 | 		17379
    362		 | 		17416
    167		 | 		17448
    54		 | 		17492
    927		 | 		17538
    518		 | 		17583
    128		 | 		17628
    853		 | 		17663
    766		 | 		17708
    610		 | 		17750
    452		 | 		17788
    834		 | 		17832
    419		 | 		17865
    998		 | 		17910
    25		 | 		17952
    844		 | 		17995
    927		 | 		18043
    456		 | 		18087
    194		 | 		18129
    564		 | 		18175
    341		 | 		18210
    618		 | 		18254
    283		 | 		18300
    947		 | 		18333
    183		 | 		18374
    59		 | 		18421
    397		 | 		18456
    165		 | 		18499
    181		 | 		18535
    122		 | 		18577
    149		 | 		18610
    409		 | 		18645
    836		 | 		18692
    667		 | 		18730
    815		 | 		18775
    114		 | 		18811
    536		 | 		18845
    942		 | 		18876
    966		 | 		18925
    302		 | 		18958
    903		 | 		18989
    769		 | 		19021
    487		 | 		19064
    674		 | 		19099
    118		 | 		19130
    863		 | 		19172
    517		 | 		19217
    44		 | 		19253
    670		 | 		19294
    63		 | 		19330
    608		 | 		19361
    10		 | 		19404
    680		 | 		19440
    242		 | 		19471
    309		 | 		19505
    862		 | 		19539
    300		 | 		19571
    57		 | 		19602
    379		 | 		19634
    832		 | 		19699
    530		 | 		19730
    527		 | 		19770
    241		 | 		19801
    365		 | 		19842
    545		 | 		19881
    55		 | 		19912
    478		 | 		19953
    80		 | 		19992
    348		 | 		20023
    796		 | 		20056
    733		 | 		20089
    250		 | 		20129
    916		 | 		20162
    571		 | 		20202
    923		 | 		20232
    34		 | 		20272
    433		 | 		20313
    792		 | 		20353
    77		 | 		20384
    454		 | 		20417
    206		 | 		20450
    36		 | 		20490
    816		 | 		20530
    885		 | 		20570
    277		 | 		20601
    124		 | 		20645
    98		 | 		20708
    929		 | 		20740
    180		 | 		20771
    476		 | 		20814
    760		 | 		20854
    709		 | 		20894
    354		 | 		20926
    352		 | 		20994
    426		 | 		21037
    898		 | 		21067
    406		 | 		21099
    903		 | 		21132
    978		 | 		21166
    753		 | 		21198
    50		 | 		21229
    710		 | 		21266
    355		 | 		21300
    966		 | 		21344
    633		 | 		21377
    629		 | 		21419
    351		 | 		21452
    65		 | 		21484
    420		 | 		21518
    779		 | 		21554
    519		 | 		21596
    625		 | 		21636
    815		 | 		21678
    334		 | 		21721
    861		 | 		21762
    443		 | 		21797
    809		 | 		21840
    959		 | 		21874
    723		 | 		21920
    988		 | 		21953
    786		 | 		21998
    835		 | 		22035
    48		 | 		22069
    140		 | 		22103
    186		 | 		22149
    473		 | 		22185
    389		 | 		22232
    592		 | 		22281
    728		 | 		22324
    366		 | 		22367
    696		 | 		22416
    777		 | 		22458
    428		 | 		22503
    50		 | 		22537
    94		 | 		22579
    60		 | 		22623
    31		 | 		22658
    444		 | 		22691
    476		 | 		22996
    450		 | 		23040
    223		 | 		23090
    346		 | 		23130
    427		 | 		23170
    389		 | 		23225
    31		 | 		23266
    287		 | 		23326
    831		 | 		23379
    839		 | 		23427
    597		 | 		23460
    906		 | 		23501
    826		 | 		23550
    383		 | 		23587
    740		 | 		23634
    874		 | 		23683
    874		 | 		23735
    925		 | 		23781
    698		 | 		23907
    262		 | 		23962
    868		 | 		24009
    425		 | 		24059
    980		 | 		24096
    916		 | 		24138
    202		 | 		24193
    759		 | 		24242
    317		 | 		24283
    647		 | 		24332
    170		 | 		24386
    347		 | 		24427
    91		 | 		24475
    997		 | 		24508
    797		 | 		24548
    665		 | 		24588
    343		 | 		24631
    575		 | 		24714
    53		 | 		24765
    373		 | 		24858
    861		 | 		24906
    235		 | 		24954
    212		 | 		24993
    810		 | 		25031
    140		 | 		102089
    389		 | 		102468
    192		 | 		102621
    231		 | 		102713
    614		 | 		102810
    417		 | 		102883
    508		 | 		102974
    312		 | 		103065
    678		 | 		103137
    375		 | 		103227
    88		 | 		103327
    9		 | 		103426
    642		 | 		103516
    641		 | 		103584
    119		 | 		103650
    959		 | 		103740
    288		 | 		103849
    288		 | 		103954
    305		 | 		104055
    730		 | 		104149
    285		 | 		104284
    453		 | 		104395
    394		 | 		104488
    627		 | 		104566
    27		 | 		104711
    798		 | 		104834
    351		 | 		104924
    240		 | 		104995
    32		 | 		105083
    914		 | 		105217
    49		 | 		105345
    524		 | 		105483
    655		 | 		105576
    592		 | 		106108
    754		 | 		106253
    268		 | 		106325
    8		 | 		106392
    261		 | 		106462
    931		 | 		106548
    37		 | 		106633
    988		 | 		106709
    371		 | 		106804
    398		 | 		106871
    629		 | 		106957
    11		 | 		107045
    516		 | 		107117
    587		 | 		107185
    298		 | 		107271
    804		 | 		107348
    244		 | 		107437
    27		 | 		107530
    88		 | 		107618
    696		 | 		107719
    772		 | 		107785
    66		 | 		107867
    75		 | 		107958
    569		 | 		108051
    768		 | 		108121
    314		 | 		108207
    953		 | 		108298
    682		 | 		108366
    714		 | 		108457
    476		 | 		108554
    336		 | 		108617
    305		 | 		108707
    229		 | 		108802
    955		 | 		108874
    664		 | 		108943
    842		 | 		109034
    238		 | 		109119
    700		 | 		109191
    829		 | 		109257
    608		 | 		109327
    97		 | 		109417
    809		 | 		109508
    618		 | 		109602
    613		 | 		109669
    748		 | 		109757
    268		 | 		109848
    768		 | 		109935
    991		 | 		110020
    646		 | 		110097
    207		 | 		110168
    38		 | 		110257
    770		 | 		110353
    624		 | 		110440
    112		 | 		110524
    338		 | 		110617
    391		 | 		110707
    777		 | 		110800
    290		 | 		110886
    72		 | 		110969
    842		 | 		111055
    765		 | 		111124
    759		 | 		111220
    146		 | 		111289
    346		 | 		111355
    66		 | 		111447
    809		 | 		111534
    539		 | 		111619
    303		 | 		111715
    861		 | 		111807
    367		 | 		111895
    262		 | 		111985
    957		 | 		112078
    175		 | 		112149
