Comienza a insertar valores
Número 		 |		Tiempo que le tomó
    3950		 | 		30537
    8789		 | 		30601
    2037		 | 		30665
    9716		 | 		30729
    5207		 | 		30792
    4053		 | 		30856
    4589		 | 		30920
    230		 | 		30983
    3071		 | 		31047
    2785		 | 		31111
    7835		 | 		31174
    1740		 | 		31238
    7315		 | 		31301
    8051		 | 		31365
    6417		 | 		31431
    4356		 | 		31589
    6126		 | 		31664
    673		 | 		31729
    4150		 | 		31794
    9726		 | 		31860
    2682		 | 		31923
    5129		 | 		31992
    8266		 | 		32099
    1808		 | 		32329
    3877		 | 		32554
    5304		 | 		32782
    5002		 | 		33009
    455		 | 		33232
    8209		 | 		33456
    1257		 | 		33682
    5211		 | 		33905
    8510		 | 		34131
    45		 | 		34352
    7247		 | 		34573
    4577		 | 		34793
    5251		 | 		35014
    1299		 | 		35243
    9165		 | 		35467
    5481		 | 		35534
    721		 | 		35600
    1949		 | 		35666
    9667		 | 		35737
    8812		 | 		35803
    5616		 | 		36030
    7717		 | 		36266
    1580		 | 		36496
    6323		 | 		36723
    194		 | 		36947
    8605		 | 		37177
    472		 | 		37404
    6272		 | 		37626
    1286		 | 		37847
    1952		 | 		38075
    4537		 | 		38301
    3093		 | 		38521
    5828		 | 		38743
    9840		 | 		38966
    8094		 | 		39188
    6282		 | 		39413
    4400		 | 		39635
    9351		 | 		39858
    7844		 | 		40083
    9261		 | 		40311
    5747		 | 		40533
    5090		 | 		40755
    3838		 | 		40980
    998		 | 		41207
    2740		 | 		41434
    3002		 | 		41743
    2830		 | 		41976
    9812		 | 		42199
    1303		 | 		42425
    2496		 | 		42649
    4975		 | 		42871
    6918		 | 		43094
    212		 | 		43323
    6555		 | 		43552
    3240		 | 		43775
    6758		 | 		43997
    5159		 | 		44219
    64		 | 		44439
    3029		 | 		44669
    6444		 | 		44894
    2015		 | 		45122
    3917		 | 		45345
    5888		 | 		45570
    4195		 | 		45791
    108		 | 		46012
    3981		 | 		46234
    6828		 | 		46456
    859		 | 		46681
    9683		 | 		46901
    4672		 | 		47122
    119		 | 		47343
    5430		 | 		47563
    6113		 | 		47787
    3956		 | 		48007
    2779		 | 		48226
    5205		 | 		48448
    3310		 | 		48746
    5608		 | 		48971
    1368		 | 		49197
    4612		 | 		49424
    8103		 | 		49648
    6343		 | 		49874
    7881		 | 		50098
    4666		 | 		50324
    2897		 | 		50545
    7472		 | 		50771
    1423		 | 		50993
    4407		 | 		51214
    7535		 | 		51435
    4451		 | 		51747
    850		 | 		51982
    5902		 | 		52353
    4719		 | 		52699
    3089		 | 		52958
    6448		 | 		53210
    4826		 | 		53465
    7069		 | 		53719
    3275		 | 		53988
    5684		 | 		54239
    3104		 | 		54501
    7946		 | 		54760
    2155		 | 		55024
    4885		 | 		55289
    411		 | 		55549
    2462		 | 		55786
    7663		 | 		55858
    5615		 | 		55932
    5771		 | 		56001
    3270		 | 		56070
    3334		 | 		56136
    6734		 | 		56203
    1372		 | 		56269
    9676		 | 		56338
    4614		 | 		56406
    2389		 | 		56471
    2572		 | 		56571
    8438		 | 		56822
    3812		 | 		57094
    6978		 | 		57168
    2324		 | 		57237
    4614		 | 		57305
    4179		 | 		57371
    4577		 | 		57463
    9333		 | 		57650
    7267		 | 		57719
    1024		 | 		57786
    510		 | 		57876
    688		 | 		58142
    4299		 | 		58361
    6194		 | 		58457
    143		 | 		58652
    8596		 | 		58724
    8348		 | 		58791
    5027		 | 		58881
    9006		 | 		58950
    809		 | 		59042
    2689		 | 		59315
    972		 | 		59567
    2932		 | 		59833
    5958		 | 		59937
    4306		 | 		60209
    9665		 | 		60328
    3681		 | 		60401
    3981		 | 		60469
    631		 | 		60536
    2421		 | 		60629
    2905		 | 		60884
    5420		 | 		61125
    6232		 | 		61194
    6234		 | 		61261
    7743		 | 		61329
    7198		 | 		61395
    6765		 | 		61461
    2320		 | 		61621
    2882		 | 		61694
    4031		 | 		61785
    3343		 | 		62050
    3391		 | 		62310
    1070		 | 		62555
    3993		 | 		62828
    5936		 | 		63094
    1212		 | 		63370
    2589		 | 		63584
    4283		 | 		63652
    6238		 | 		63750
    7946		 | 		63820
    1444		 | 		63887
    5278		 | 		63984
    5270		 | 		64056
    727		 | 		64127
    7587		 | 		64190
    5927		 | 		64250
    6743		 | 		64509
    7619		 | 		64770
    6259		 | 		65029
    3725		 | 		65287
    40		 | 		65531
    9163		 | 		65791
    9144		 | 		66004
    2623		 | 		66104
    1749		 | 		66367
    6887		 | 		66767
    9820		 | 		67028
    8513		 | 		67261
    5558		 | 		67330
    2701		 | 		67397
    8895		 | 		67463
    5252		 | 		67558
    2444		 | 		67765
    6317		 | 		67887
    5597		 | 		68038
    8379		 | 		68086
    7528		 | 		68261
    4537		 | 		68295
    9014		 | 		68329
    118		 | 		68363
    8834		 | 		68397
    6809		 | 		68431
    5395		 | 		68477
    4103		 | 		68613
    7535		 | 		68745
    9334		 | 		68880
    29		 | 		68916
    4277		 | 		68952
    6952		 | 		68987
    2640		 | 		69020
    8002		 | 		69063
    6991		 | 		69097
    8154		 | 		69148
    7145		 | 		69279
    5966		 | 		69411
    9902		 | 		69537
    383		 | 		69669
    5785		 | 		69796
    4766		 | 		69931
    2292		 | 		70053
    4838		 | 		70188
    3661		 | 		70313
    3896		 | 		70453
    7281		 | 		70592
    9977		 | 		70735
    9492		 | 		70859
    2011		 | 		71011
    3856		 | 		71154
    4028		 | 		71265
    1024		 | 		71340
    3973		 | 		71468
    2861		 | 		71805
    7832		 | 		71946
    5720		 | 		72076
    3316		 | 		72211
    5366		 | 		72344
    1405		 | 		72477
    9696		 | 		72612
    5995		 | 		72743
    8356		 | 		72874
    2335		 | 		73000
    3996		 | 		73128
    1699		 | 		73253
    6841		 | 		73377
    7492		 | 		73508
    7664		 | 		73634
    6742		 | 		73753
    4227		 | 		73879
    9800		 | 		74001
    7860		 | 		74126
    6518		 | 		74254
    4637		 | 		74417
    1520		 | 		74671
    6765		 | 		74915
    8269		 | 		75162
    7848		 | 		75406
    6256		 | 		75641
    280		 | 		76124
    1703		 | 		76404
    6635		 | 		76646
    7655		 | 		76889
    2028		 | 		77131
    5848		 | 		77370
    5487		 | 		77630
    4099		 | 		77927
    5515		 | 		78189
    852		 | 		78439
    5503		 | 		78708
    5210		 | 		78969
    3198		 | 		79324
    210		 | 		79594
    3897		 | 		79835
    7193		 | 		80104
    1908		 | 		80408
    737		 | 		80661
    1037		 | 		80918
    5923		 | 		81196
    3830		 | 		81765
    5263		 | 		82948
    5723		 | 		83522
    1689		 | 		84065
    8132		 | 		84602
    6711		 | 		85111
    9560		 | 		85752
    4897		 | 		86330
    1332		 | 		86842
    7407		 | 		87370
    7504		 | 		87854
    7963		 | 		88312
    5462		 | 		88667
    491		 | 		88954
    5617		 | 		89188
    3841		 | 		89413
    2690		 | 		89644
    1103		 | 		89870
    4291		 | 		90095
    8204		 | 		90318
    8307		 | 		90543
    6145		 | 		90780
    9765		 | 		91004
    1504		 | 		91226
    6354		 | 		91449
    13		 | 		91788
    5049		 | 		92022
    4614		 | 		92248
    7101		 | 		92472
    6085		 | 		92697
    536		 | 		92936
    931		 | 		93163
    7699		 | 		93391
    6258		 | 		93621
    8971		 | 		93861
    5830		 | 		94086
    9321		 | 		94312
    8531		 | 		94540
    7078		 | 		94765
    652		 | 		94995
    2289		 | 		95221
    934		 | 		95444
    8614		 | 		95667
    4102		 | 		95901
    1424		 | 		96141
    4230		 | 		96376
    4294		 | 		96688
    4113		 | 		96923
    1685		 | 		97149
    4936		 | 		97379
    8668		 | 		97604
    6343		 | 		97830
    1080		 | 		98059
    8432		 | 		98283
    7846		 | 		98506
    3786		 | 		98733
    4797		 | 		98972
    9246		 | 		99214
    8399		 | 		99462
    1897		 | 		99699
    5330		 | 		99936
    5286		 | 		100184
    9179		 | 		100423
    3028		 | 		100652
    1544		 | 		100882
    8150		 | 		101118
    5210		 | 		101353
    7216		 | 		101670
    3032		 | 		101903
    8639		 | 		102132
    7867		 | 		102368
    1672		 | 		102609
    9572		 | 		102835
    2832		 | 		103065
    2126		 | 		103299
    995		 | 		103528
    3413		 | 		103755
    6419		 | 		103994
    1459		 | 		104222
    5097		 | 		104466
    7707		 | 		104702
    6478		 | 		104933
    7791		 | 		105227
    8786		 | 		105476
    1262		 | 		105710
    1989		 | 		105942
    8923		 | 		106174
    6058		 | 		106424
    1234		 | 		106653
    7321		 | 		106886
    7954		 | 		107114
    2916		 | 		107345
    2607		 | 		107583
    7133		 | 		107812
    2295		 | 		108042
    502		 | 		108271
    1634		 | 		108528
    7504		 | 		108766
    7717		 | 		108999
    1017		 | 		109231
    6143		 | 		109460
    1935		 | 		109694
    2688		 | 		109921
    5714		 | 		110204
    4766		 | 		110451
    1165		 | 		110707
    3061		 | 		110976
    8178		 | 		111229
    7584		 | 		111299
    871		 | 		111368
    9627		 | 		111464
    1642		 | 		111771
    7349		 | 		111842
    7417		 | 		111910
    427		 | 		112004
    4962		 | 		112243
    9405		 | 		112499
    5702		 | 		112752
    1019		 | 		113009
    6991		 | 		113260
    3022		 | 		113515
    5324		 | 		113765
    9906		 | 		113895
    1980		 | 		114006
    2456		 | 		114267
    2200		 | 		114525
    2481		 | 		114794
    441		 | 		115036
    6056		 | 		115288
    6549		 | 		115527
    1457		 | 		115772
    2198		 | 		116069
    8483		 | 		116308
    497		 | 		116555
    4263		 | 		116792
    9600		 | 		117038
