

Comienza el proceso de eliminación



Número 		 |		Tiempo que le tomó
    17323		 | 		28553
    86428		 | 		28625
    70594		 | 		28698
    10057		 | 		28767
    92980		 | 		28835
    48937		 | 		28907
    36266		 | 		28997
    76079		 | 		29066
    14736		 | 		58231
    12113		 | 		58331
    48688		 | 		58404
    93386		 | 		58495
    88095		 | 		58571
    7461		 | 		58643
    48042		 | 		58737
    31756		 | 		58806
    99991		 | 		58886
    90327		 | 		58950
    8847		 | 		59017
    18886		 | 		59096
    25862		 | 		59166
    12697		 | 		59257
    54721		 | 		59368
    60346		 | 		59442
    67805		 | 		59511
    99246		 | 		59598
    48605		 | 		59665
    1607		 | 		59734
    19893		 | 		59824
    8830		 | 		59905
    30608		 | 		59978
    53567		 | 		60046
    11609		 | 		60113
    17553		 | 		60187
    79975		 | 		60275
    4589		 | 		60373
    82842		 | 		60468
    16240		 | 		60536
    97019		 | 		60607
    97577		 | 		60727
    28353		 | 		60826
    62059		 | 		60901
    7314		 | 		60970
    32799		 | 		61038
    69519		 | 		61128
    55355		 | 		61196
    64554		 | 		61288
    85862		 | 		61354
    45681		 | 		61443
    89752		 | 		61512
    21099		 | 		61600
    87895		 | 		61692
    2449		 | 		61785
    92171		 | 		61855
    48240		 | 		61925
    86605		 | 		62133
    7768		 | 		62214
    13197		 | 		62289
    88211		 | 		62361
    27660		 | 		62450
    38378		 | 		62518
    35171		 | 		62586
    97578		 | 		62656
    49986		 | 		62724
    52723		 | 		62796
    77552		 | 		62876
    70926		 | 		62970
    51916		 | 		63050
    10144		 | 		63121
    84297		 | 		63196
    49492		 | 		63287
    54848		 | 		63354
    62707		 | 		63423
    56806		 | 		63489
    87646		 | 		63559
    32225		 | 		63647
    28512		 | 		63735
    68551		 | 		63811
    34438		 | 		63884
    74193		 | 		63978
    74655		 | 		64067
    71888		 | 		64153
    78439		 | 		64245
    77103		 | 		64314
    64058		 | 		64404
    26678		 | 		64488
    63707		 | 		64686
    71825		 | 		64771
    39874		 | 		64866
    68269		 | 		64952
    15836		 | 		65033
    94603		 | 		65108
    3439		 | 		65187
    29765		 | 		65261
    44589		 | 		65346
    56162		 | 		65431
    23669		 | 		65501
    31866		 | 		65572
    8077		 | 		65644
    50164		 | 		65712
    16162		 | 		65779
    73921		 | 		65866
    5011		 | 		65943
    78868		 | 		66012
    47078		 | 		66082
    9008		 | 		66170
    27445		 | 		66243
    75589		 | 		66317
    77558		 | 		66410
    78234		 | 		66502
    66133		 | 		66591
    52212		 | 		66658
    50122		 | 		66724
    44571		 | 		66809
    45666		 | 		66874
    30531		 | 		66949
    87601		 | 		67021
    25724		 | 		67114
    18708		 | 		67182
    43826		 | 		67250
    93993		 | 		67317
    50895		 | 		67385
    38429		 | 		67454
    97431		 | 		67541
    80660		 | 		67631
    83017		 | 		67699
    69944		 | 		67787
    4328		 | 		67858
    31234		 | 		67929
    94373		 | 		68002
    54491		 | 		68088
    47396		 | 		68158
    84645		 | 		68226
    75853		 | 		68315
    42615		 | 		68384
    48074		 | 		68451
