Comienza a insertar valores
Número 		 |		Tiempo que le tomó
    352		 | 		21253
    28		 | 		21317
    980		 | 		21380
    285		 | 		21444
    511		 | 		21508
    228		 | 		21571
    750		 | 		21634
    481		 | 		21698
    828		 | 		21761
    654		 | 		21825
    398		 | 		21891
    536		 | 		21956
    979		 | 		22019
    771		 | 		22083
    639		 | 		22146
    493		 | 		22209
    701		 | 		22272
    378		 | 		22339
    679		 | 		22404
    40		 | 		22470
    942		 | 		22535
    228		 | 		22599
    404		 | 		22662
    668		 | 		22726
    445		 | 		22792
    857		 | 		22855
    6		 | 		22925
    653		 | 		22989
    98		 | 		23053
    180		 | 		23117
    427		 | 		23181
    801		 | 		23244
    207		 | 		23307
    406		 | 		23371
    86		 | 		23434
    69		 | 		23501
    633		 | 		23565
    835		 | 		23628
    550		 | 		23692
    812		 | 		23755
    840		 | 		23819
    299		 | 		23885
    348		 | 		23949
    818		 | 		24012
    421		 | 		24076
    338		 | 		24139
    663		 | 		24203
    121		 | 		24270
    716		 | 		24334
    341		 | 		24398
    512		 | 		24462
    657		 | 		24526
    920		 | 		24589
    916		 | 		24653
    677		 | 		24719
    717		 | 		24783
    772		 | 		24850
    682		 | 		24914
    369		 | 		24978
    221		 | 		25043
    214		 | 		25110
    795		 | 		25175
    21		 | 		25240
    420		 | 		25304
    552		 | 		25370
    458		 | 		25435
    841		 | 		25499
    537		 | 		25563
    293		 | 		25626
    390		 | 		25690
    348		 | 		25753
    484		 | 		25818
    40		 | 		25882
    47		 | 		25946
    654		 | 		26013
    460		 | 		26080
    385		 | 		26148
    316		 | 		26212
    580		 | 		26277
    452		 | 		26341
    656		 | 		26404
    443		 | 		26468
    460		 | 		26531
    928		 | 		26595
    358		 | 		26658
    136		 | 		26722
    644		 | 		26786
    481		 | 		26849
    170		 | 		26913
    364		 | 		26977
    701		 | 		27040
    383		 | 		27103
    510		 | 		27171
    74		 | 		27236
    154		 | 		27301
    61		 | 		27365
    531		 | 		27429
    994		 | 		27493
    949		 | 		27557
    823		 | 		27680
    735		 | 		27749
    297		 | 		27813
    659		 | 		27877
    774		 | 		27941
    695		 | 		28005
    312		 | 		28069
    233		 | 		28129
    79		 | 		28196
    627		 | 		28261
    164		 | 		28326
    530		 | 		28395
    634		 | 		28462
    607		 | 		28527
    990		 | 		28595
    913		 | 		28660
    316		 | 		28724
    477		 | 		28792
    556		 | 		28856
    797		 | 		28921
    646		 | 		28984
    271		 | 		29048
    849		 | 		29115
    28		 | 		29180
    780		 | 		29248
    922		 | 		29315
    534		 | 		29380
    193		 | 		29445
    453		 | 		29511
    527		 | 		29576
    141		 | 		29641
    627		 | 		29705
    614		 | 		29770
    437		 | 		29846
    637		 | 		29913
    387		 | 		29978
    132		 | 		30044
    948		 | 		30117
    620		 | 		30290
    562		 | 		30356
    926		 | 		30424
    135		 | 		30493
    444		 | 		30562
    560		 | 		30628
    93		 | 		30693
    433		 | 		30759
    824		 | 		30831
    409		 | 		30897
    909		 | 		30963
    732		 | 		31028
    557		 | 		31093
    907		 | 		31169
    2		 | 		31237
    757		 | 		31308
    286		 | 		31374
    782		 | 		31444
    679		 | 		31550
    819		 | 		31623
    974		 | 		31692
    483		 | 		31759
    346		 | 		31829
    114		 | 		31896
    461		 | 		31962
    959		 | 		32032
    903		 | 		32098
    98		 | 		32170
    697		 | 		32236
    386		 | 		32306
    45		 | 		32374
    668		 | 		32441
    299		 | 		32518
    323		 | 		32583
    803		 | 		32649
    742		 | 		32723
    234		 | 		32793
    895		 | 		32861
    526		 | 		32931
    57		 | 		32999
    655		 | 		33066
    435		 | 		33131
    788		 | 		33196
    563		 | 		33263
    693		 | 		33329
    790		 | 		33393
    320		 | 		33463
    978		 | 		33532
    923		 | 		33604
    350		 | 		33671
    797		 | 		33741
    248		 | 		33806
    832		 | 		33875
    494		 | 		33946
    713		 | 		34016
