Comienza a insertar valores
Número 		 |		Tiempo que le tomó
    980		 | 		15883
    285		 | 		15921
    511		 | 		15960
    228		 | 		16000
    750		 | 		16037
    481		 | 		16074
    828		 | 		16112
    654		 | 		16149
    398		 | 		16195
    536		 | 		16233
    979		 | 		16271
    771		 | 		16324
    639		 | 		16362
    493		 | 		16400
    701		 | 		16438
    378		 | 		16476
    679		 | 		16513
    40		 | 		16551
    942		 | 		16588
    228		 | 		16625
    404		 | 		16662
    668		 | 		16699
    445		 | 		16737
    857		 | 		16774
    6		 | 		16811
    653		 | 		16848
    98		 | 		16885
    180		 | 		16923
    427		 | 		16960
    801		 | 		16997
    207		 | 		17034
    406		 | 		17071
    86		 | 		17108
    69		 | 		17145
    633		 | 		17182
    835		 | 		17219
    550		 | 		17256
    812		 | 		18612
    840		 | 		18656
    299		 | 		18694
    348		 | 		18731
    818		 | 		18768
    421		 | 		18807
    338		 | 		18844
    663		 | 		18881
    121		 | 		18919
    716		 | 		18958
    341		 | 		18995
    512		 | 		19033
    657		 | 		19070
    920		 | 		19107
    916		 | 		19144
    677		 | 		19182
    717		 | 		19219
    772		 | 		19256
    682		 | 		19313
    369		 | 		19361
    221		 | 		19399
    214		 | 		19436
    795		 | 		19473
    21		 | 		19510
    420		 | 		19548
    552		 | 		19586
    458		 | 		19623
    841		 | 		19660
    537		 | 		19698
    293		 | 		19736
    390		 | 		19773
    348		 | 		19810
    484		 | 		19846
    40		 | 		19883
    47		 | 		19920
    654		 | 		19957
    460		 | 		19994
    385		 | 		20032
    316		 | 		20069
    580		 | 		20106
    452		 | 		20143
    656		 | 		20180
    443		 | 		20217
    460		 | 		20254
    928		 | 		20306
    358		 | 		20357
    136		 | 		20395
    644		 | 		20433
    481		 | 		20470
    170		 | 		20508
    364		 | 		20545
    701		 | 		20582
    383		 | 		20618
    510		 | 		20656
    74		 | 		20693
    154		 | 		20730
    61		 | 		20767
    531		 | 		20804
    994		 | 		20841
    949		 | 		20878
    823		 | 		20916
    735		 | 		20953
    297		 | 		21028
    659		 | 		21071
    774		 | 		21111
    695		 | 		21149
    312		 | 		21187
    233		 | 		21225
    79		 | 		21283
    627		 | 		21370
    164		 | 		21418
    530		 | 		21466
    634		 | 		21520
    607		 | 		21582
    990		 | 		21633
    913		 | 		21682
    316		 | 		21744
    477		 | 		21798
    556		 | 		21854
    797		 | 		21917
    646		 | 		21980
    271		 | 		22021
    849		 | 		22061
    28		 | 		22122
    780		 | 		22172
    922		 | 		22218
    534		 | 		22257
    193		 | 		22318
    453		 | 		22370
    527		 | 		22408
    141		 | 		22446
    627		 | 		22483
    614		 | 		22525
    437		 | 		22564
    637		 | 		22601
    387		 | 		22638
    132		 | 		22676
    948		 | 		22713
    620		 | 		22751
    562		 | 		22788
    926		 | 		22825
    135		 | 		22862
    444		 | 		22899
    560		 | 		22937
    93		 | 		22974
    433		 | 		23011
    824		 | 		23048
    409		 | 		23085
    909		 | 		23122
    732		 | 		23159
    557		 | 		23196
    907		 | 		23233
    2		 | 		23270
    757		 | 		23320
    286		 | 		23379
    782		 | 		23437
    679		 | 		23480
    819		 | 		23519
    974		 | 		23556
    483		 | 		23594
    346		 | 		23631
    114		 | 		23669
    461		 | 		23706
    959		 | 		23743
