Comienza a insertar valores
Número 		 |		Tiempo que le tomó
    61186		 | 		14559
    26106		 | 		14596
    63685		 | 		14634
    75105		 | 		14671
    96819		 | 		14709
    39571		 | 		14747
    92998		 | 		14784
    92234		 | 		14821
    23775		 | 		14858
    90201		 | 		14896
    47857		 | 		14933
    95114		 | 		14971
    66736		 | 		15008
    80673		 | 		15045
    15456		 | 		15083
    4397		 | 		15120
    97581		 | 		15164
    10625		 | 		15202
    99290		 | 		15239
    42842		 | 		15277
    97022		 | 		15345
    49371		 | 		15401
    68895		 | 		15459
    7923		 | 		15503
    38918		 | 		15540
    47115		 | 		15579
    68235		 | 		15622
    75436		 | 		15659
    11749		 | 		15697
    34697		 | 		15734
    6187		 | 		15772
    72934		 | 		15810
    77154		 | 		15847
    69871		 | 		15885
    64391		 | 		15924
    73972		 | 		15961
    25793		 | 		15999
    57388		 | 		16036
    82558		 | 		16074
    49567		 | 		16111
    63940		 | 		16148
    30414		 | 		16186
    61033		 | 		16223
    47027		 | 		16261
    27438		 | 		16301
    76488		 | 		16349
    51423		 | 		16388
    41370		 | 		16425
    87112		 | 		16463
    67064		 | 		16502
    84211		 | 		16539
    485		 | 		16577
    32787		 | 		16619
    69457		 | 		16656
    24759		 | 		16693
    88056		 | 		16731
    16571		 | 		16768
    92993		 | 		16806
    63492		 | 		16843
    44672		 | 		16881
    44041		 | 		16918
    69678		 | 		16955
    33957		 | 		16992
    21195		 | 		17030
    55900		 | 		17068
    98347		 | 		17105
    11518		 | 		17142
    98044		 | 		17179
    72086		 | 		17217
    94075		 | 		17254
    63962		 | 		17292
    52377		 | 		17365
    40840		 | 		17417
    24994		 | 		17455
    99403		 | 		17493
    84629		 | 		17530
    1481		 | 		17569
    50826		 | 		17611
    25999		 | 		17650
    4944		 | 		17688
    34241		 | 		17725
    26561		 | 		17762
    5428		 | 		17800
    83379		 | 		17837
    96018		 | 		17874
    30186		 | 		17913
    71435		 | 		17951
    12588		 | 		17989
    39530		 | 		18053
    34926		 | 		18144
    73611		 | 		18211
    99923		 | 		18287
    20955		 | 		19703
    7568		 | 		19763
    21117		 | 		19842
    93206		 | 		19925
    5914		 | 		19988
    48986		 | 		20048
    91249		 | 		20107
    94352		 | 		20159
    43061		 | 		20208
    55210		 | 		20258
    46728		 | 		20325
    252		 | 		20394
    80204		 | 		20467
    46131		 | 		20512
    84881		 | 		20551
    98036		 | 		20591
    13308		 | 		20635
    10879		 | 		20673
    19332		 | 		20718
    63900		 | 		20770
    53791		 | 		20812
    24759		 | 		20851
    47279		 | 		20889
    49808		 | 		20926
    71297		 | 		20965
    18713		 | 		21003
    78748		 | 		21043
    27178		 | 		21080
    69990		 | 		21118
    52358		 | 		21156
    27100		 | 		21194
    90944		 | 		21232
    59925		 | 		21270
    64568		 | 		21318
    84149		 | 		21365
    82191		 | 		21403
    13554		 | 		21440
    75397		 | 		21478
    76542		 | 		21516
    72966		 | 		21553
    46958		 | 		21591
    39621		 | 		21629
    73217		 | 		21666
    43513		 | 		21704
    2103		 | 		21743
    74449		 | 		21781
    57901		 | 		21819
    31762		 | 		21856
    1679		 | 		21893
    77232		 | 		21931
    95662		 | 		21968
    55470		 | 		22006
    18342		 | 		22043
    59292		 | 		22081
    21629		 | 		22118
    89638		 | 		22156
    78004		 | 		22193
    376		 | 		22230
    33168		 | 		22275
    47993		 | 		22328
    52734		 | 		22380
    60267		 | 		22421
    55288		 | 		22458
    29010		 | 		22496
    41187		 | 		22534
    39436		 | 		22572
    11200		 | 		22610
    54740		 | 		22649
    31184		 | 		22687
    4093		 | 		22724
    44057		 | 		22762
    94493		 | 		22800
    60066		 | 		22837
    17273		 | 		22874
    38006		 | 		22913
    62168		 | 		22950
    8074		 | 		22988
    95906		 | 		23025
    93930		 | 		23062
